yarn run v1.22.22
$ next dev
▲ Next.js 16.1.1 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.55:3000
- Environments: .env.local
- Experiments (use with caution):
  · clientTraceMetadata

✓ Starting...
✓ Ready in 2.4s
 PUT /api/inngest 200 in 74ms (compile: 18ms, proxy.ts: 24ms, render: 32ms)
 PUT /api/inngest 200 in 71ms (compile: 16ms, proxy.ts: 22ms, render: 33ms)
 PUT /api/inngest 200 in 66ms (compile: 16ms, proxy.ts: 18ms, render: 32ms)
 PUT /api/inngest 200 in 59ms (compile: 15ms, proxy.ts: 9ms, render: 35ms)
 PUT /api/inngest 200 in 55ms (compile: 16ms, proxy.ts: 9ms, render: 30ms)
 PUT /api/inngest 200 in 55ms (compile: 16ms, proxy.ts: 10ms, render: 29ms)
 PUT /api/inngest 200 in 59ms (compile: 16ms, proxy.ts: 10ms, render: 33ms)
 PUT /api/inngest 200 in 61ms (compile: 16ms, proxy.ts: 13ms, render: 32ms)
 PUT /api/inngest 200 in 57ms (compile: 16ms, proxy.ts: 10ms, render: 31ms)
 PUT /api/inngest 200 in 66ms (compile: 16ms, proxy.ts: 17ms, render: 33ms)
 PUT /api/inngest 200 in 66ms (compile: 18ms, proxy.ts: 19ms, render: 30ms)
 PUT /api/inngest 200 in 60ms (compile: 18ms, proxy.ts: 13ms, render: 29ms)
 PUT /api/inngest 200 in 65ms (compile: 15ms, proxy.ts: 16ms, render: 35ms)
 PUT /api/inngest 200 in 60ms (compile: 15ms, proxy.ts: 16ms, render: 30ms)
 PUT /api/inngest 200 in 62ms (compile: 17ms, proxy.ts: 14ms, render: 31ms)
 PUT /api/inngest 200 in 66ms (compile: 16ms, proxy.ts: 18ms, render: 32ms)
 PUT /api/inngest 200 in 69ms (compile: 17ms, proxy.ts: 22ms, render: 30ms)
 PUT /api/inngest 200 in 65ms (compile: 18ms, proxy.ts: 14ms, render: 33ms)
 PUT /api/inngest 200 in 67ms (compile: 15ms, proxy.ts: 21ms, render: 30ms)
 PUT /api/inngest 200 in 69ms (compile: 18ms, proxy.ts: 20ms, render: 31ms)
 PUT /api/inngest 200 in 58ms (compile: 15ms, proxy.ts: 12ms, render: 30ms)
 PUT /api/inngest 200 in 67ms (compile: 18ms, proxy.ts: 19ms, render: 29ms)
 PUT /api/inngest 200 in 57ms (compile: 15ms, proxy.ts: 13ms, render: 29ms)
 PUT /api/inngest 200 in 54ms (compile: 15ms, proxy.ts: 11ms, render: 29ms)
 PUT /api/inngest 200 in 63ms (compile: 15ms, proxy.ts: 18ms, render: 30ms)
